userName,userImage,score,date,text
"Laila Salma",https://play-lh.googleusercontent.com/a/AGNmyxbCbi8ieTnReZgGUi1hW0UASJ8Bzr9CW2e-vqGH=mo,5,2023-03-21T17:20:07.820Z,"good 2x"
"jagruti shinde",https://play-lh.googleusercontent.com/a/AGNmyxb8c3iyUmwJ_vFyB0XGi99kGbZGHR0ZbiCeHzTt=mo,2,2023-03-21T15:48:13.937Z,"6gc see this 68t"
"Aliff Farhan",https://play-lh.googleusercontent.com/a/AGNmyxYyCJEOsD_GOnNtr4VitmW773gHdO_to3sm5-BP=mo,5,2023-03-21T13:03:30.201Z,"Hah emang benar ayo kita cuba"
"KARUNAKARAN RAJENDRAN",https://play-lh.googleusercontent.com/a/AGNmyxaOv6QjTgrFrybbX3vf3_YTmqWhow2A0DCy2MI9=mo,5,2023-03-21T04:30:14.767Z,"t😍😍😘🍑🙏🙏ee😘rr🍑"
"Shahin Eftekhar",https://play-lh.googleusercontent.com/a/AGNmyxZ9JSEiOAkYo-erQ6quMDr2DkhQ-VH-3Z0Gu8yA=mo,5,2023-03-20T10:31:56.505Z,"t kg de la"
"pramod prasad",https://play-lh.googleusercontent.com/a-/ACB-R5Q-TmVC7raIIt9mKR8l67DLP63-eTQF1ywzihMh,1,2023-03-20T06:29:57.907Z,"Bad bad very bad"
"ernita x",https://play-lh.googleusercontent.com/a/AGNmyxbIqlArPflJo-YTu2HGHqHjg2lJ9dzaAMmsyTQ=mo,3,2023-03-20T02:32:45.799Z,"Wow"
"Alma Saenz",https://play-lh.googleusercontent.com/a/AGNmyxZnfv_L1qr0Y8VTEdnqGIoIxOp25Wwv2ukvSGeX=mo,5,2023-03-18T21:25:30.267Z,"jdudk"
"V3X3D 1",https://play-lh.googleusercontent.com/a-/ACB-R5SKW8hm0Ru_UtzteJvVtAkClCPF3DP5n5KkZZxHfsk,5,2023-03-18T18:55:17.709Z,"My Daughter loves it ❤️"
"Karen Hamilton",https://play-lh.googleusercontent.com/a/AGNmyxYdJ14bQovoMOIZa0Tz07wgXW47j6DeOWKPHvyp=mo,1,2023-03-17T20:20:04.367Z,"this game just makes you hungry that is all it does"
"Brett Felger",https://play-lh.googleusercontent.com/a/AGNmyxZjUp3m-GAx_9oJ7o-yIsryMdlTyZvkbX5VSPBt=mo,5,2023-03-16T23:04:09.318Z,"Best GAME EVEr when I got it there wer 0 ads and there was no internet and I watched an add when no internet!!!!"
"Sai Amartya Das",https://play-lh.googleusercontent.com/a-/ACB-R5THTBEP4Vza4OUavjXlWCRyJwSUv_Qm8KRXwqpW,5,2023-03-16T03:30:32.613Z,"THIS IS PRETTY COOL😎😎😎👍"
"Paul Giang",https://play-lh.googleusercontent.com/a/AGNmyxZbmB5kWpXUMFWxZjc4bvSmtGZoXuiuXOlCUwOa=mo,5,2023-03-15T22:52:05.770Z,"Be9"
"Bhuvana S",https://play-lh.googleusercontent.com/a-/ACB-R5SU2YDTJ4dISFdvu4RseUo1RP24uj9JgXLD3lSPI0c,5,2023-03-15T21:37:34.804Z,"gjhg NC hv GG cleavage"
"DeeDee McCall",https://play-lh.googleusercontent.com/a-/ACB-R5SZZQ55DXQr6KYLUzR2sV9ANHVuvmfw4PKFY0YxldY,2,2023-03-12T14:43:48.745Z,"Kgalalelo"
