userName,userImage,score,date,text
"Asaph Gichaga",https://play-lh.googleusercontent.com/a/AGNmyxaNtF5mXELWaFxrrvMIQKO6MkG2MEVmxYECCt3E=mo,5,2023-04-10T13:13:35.900Z,"Good application"
"Hayden Quinn",https://play-lh.googleusercontent.com/a/AGNmyxam6huq70-zklZmyjmeksrLbm3eQmTtEdjE9A1r=mo,5,2023-04-10T06:03:34.960Z,"Thanks for fastest VPN, available for FREE.!"
"Tika Tika",https://play-lh.googleusercontent.com/a-/ACB-R5TVV00QAmrMIKOSlVwkdrj_yoBqG2gQrZNbhT_0,1,2023-04-10T03:34:15.642Z,"not working at all"
"Naveen Kumar Nallathambi",https://play-lh.googleusercontent.com/a-/ACB-R5SlfnapQb8mCMyLkouvBFCK0n0uGi63AqXsj53_kQ,5,2023-04-09T16:16:36.125Z,"Very nice app"
"umair ghani",https://play-lh.googleusercontent.com/a-/ACB-R5SBqp0Xt26XrJjBF6KQo6BAtOT-2GNVBjxZ8lFf,5,2023-04-09T16:13:56.264Z,"Best app"
"Ismail Pashtoon",https://play-lh.googleusercontent.com/a-/ACB-R5QpfH_3NXC4Q0Ej3sHUtW2AKO2v1NM5_0yUQbV4,5,2023-04-09T12:10:45.790Z,"5g"
"Haq4yaryar 88",https://play-lh.googleusercontent.com/a/AGNmyxagId7ghc3b8v0PUlqMHh-dNpvASHLAj-mE3FGk=mo,1,2023-04-09T08:38:51.292Z,"Totally fake 🤥"
"Noreen Waqas",https://play-lh.googleusercontent.com/a-/ACB-R5SVWchG_-Vwnh301osCUVvDiubHQk2BwfTLCPzJ,3,2023-04-09T07:32:56.809Z,"Not bad"
"BABU LAL",https://play-lh.googleusercontent.com/a-/ACB-R5Q2Xh0S7qoxEHkD8WnXIDuQ1kDLSwYnyBncswYyEQ,1,2023-04-09T03:47:40.192Z,"Very bad experience wrong information"
"Priti Sahoo",https://play-lh.googleusercontent.com/a-/ACB-R5RPGzpCtmHBqe9-iI4h-rgJlmSvVM-_hid5DFHayQ,5,2023-04-09T00:59:36.655Z,"Oo"
"KASIM KHAN",https://play-lh.googleusercontent.com/a-/ACB-R5QEZhiMsP_g8lgg8yDY27xAQkw4hhuSR1VFfkus3g,3,2023-04-08T21:26:57.836Z,"Nice"
"Atiya Sambulkhani",https://play-lh.googleusercontent.com/a/AGNmyxZ2VkSAU3kK2kwtBH-I1xm88gEhHCRSjIPjYmKG=mo,1,2023-04-08T19:49:29.680Z,"Very bad app never showed the actual speed already may have share of Etisalat"
"Gabar A ajnar",https://play-lh.googleusercontent.com/a-/ACB-R5QOZOxcCSWyBS79iZuPk4qCZKbGenVQF1tI4VqBNA,5,2023-04-08T12:59:53.622Z,"5G"
"Dharmraj Salvi",https://play-lh.googleusercontent.com/a-/ACB-R5T9wOImqzQ9RFXWssCjkFGuzIutknu4lwHrVcl8,1,2023-04-08T12:45:08.748Z,"Do not work"
"Debdeep Sit",https://play-lh.googleusercontent.com/a-/ACB-R5R9ExGBvColVvlBoJYSYdYxMVIjkvDLIhDv70ubug,5,2023-04-08T12:36:43.263Z,"Good"
"Arsh Koli",https://play-lh.googleusercontent.com/a/AGNmyxZ3VYsxIZzMWaAQm-DCBE9saa4wq5zjbChaXXKK=mo,1,2023-04-08T11:05:44.572Z,"Developer are you crazy ."
"SPIDER Man",https://play-lh.googleusercontent.com/a/AGNmyxZlVDO1osj65hh0UixDbnWb50HKqNvg8NnJ6cGY=mo,5,2023-04-08T07:01:27.400Z,"ITS GREAT APP I LOVE THIS ❤️"
"Mikelle Llanos",https://play-lh.googleusercontent.com/a/AGNmyxa2DAFshOhbZskfaH1ZmQ-RWHfutV0BuX38wh8Q=mo,5,2023-04-08T03:48:58.584Z,"Nice"
"Shyam Bagul",https://play-lh.googleusercontent.com/a/AGNmyxY2mZrO-wmwvMyHHbCJIWlQZFx0qfU7U-gD_Pnj=mo,5,2023-04-08T03:41:50.610Z,"I ts very better"
"Leni Casero",https://play-lh.googleusercontent.com/a/AGNmyxb7KoEXk8BAdL0G4y29Jys_pCmjwzMQFfaPCRA=mo,4,2023-04-08T03:24:16.260Z,"Nice"
"Rajesh Mondal",https://play-lh.googleusercontent.com/a/AGNmyxay0BoEbIAZ9OIl4wqH9YYZUUVG3pCp7-eXFpA4=mo,1,2023-04-08T03:03:55.997Z,"This is no work. It is bad"
"Juwel Ahmed",https://play-lh.googleusercontent.com/a-/ACB-R5Qxsoz0GJBVlFh59cQ3g9d_rc8--LSwhKxM-rVv6Q,5,2023-04-08T02:17:28.119Z,"Nice 👍"
"Rippler Xeon",https://play-lh.googleusercontent.com/a-/ACB-R5QQh-hs3ARrTctkJrdhIs6xoK1s-rKo0RDcZEsjSg,1,2023-04-07T15:25:13.638Z,"Advertisment junkyard"
"shashanks",https://play-lh.googleusercontent.com/a/AGNmyxag7AiVDvluz-hZx7hR-jYUYj1CP3M1D8vQZ5p-mQ=mo,5,2023-04-07T12:10:01.812Z,"Speedy 🥰"
