category,data,optional,purpose,type,securityPractices,privacyPolicyUrl
"collected data","Crash logs",false,"Analytics","App info and performance","Data is encrypted in transit (Your data is transferred over a secure connection); Data can’t be deleted (The developer doesn’t provide a way for you to request that your data be deleted)","http://www.playsidestudios.com/privacy-policy"
"collected data","Diagnostics",false,"Analytics","App info and performance","Data is encrypted in transit (Your data is transferred over a secure connection); Data can’t be deleted (The developer doesn’t provide a way for you to request that your data be deleted)","http://www.playsidestudios.com/privacy-policy"
"collected data","Other app performance data",false,"Analytics","App info and performance","Data is encrypted in transit (Your data is transferred over a secure connection); Data can’t be deleted (The developer doesn’t provide a way for you to request that your data be deleted)","http://www.playsidestudios.com/privacy-policy"
"collected data","Device or other IDs",false,"App functionality, Analytics","Device or other IDs","Data is encrypted in transit (Your data is transferred over a secure connection); Data can’t be deleted (The developer doesn’t provide a way for you to request that your data be deleted)","http://www.playsidestudios.com/privacy-policy"
