userName,userImage,score,date,text
"Resourceful Man is Resourceful","https://play-lh.googleusercontent.com/a-/ACB-R5RcofgbF8swVa6FHJL9tRliPDb-ozLzt35HMfzP",1,"2023-03-01T23:43:19.628Z","Can't pair device without a pair code. Can't GET a pair code without IT. IT can't send me a pair code without authenticating. Utterly, utterly useless. I'd give zero stars if I could."
"Chris L","https://play-lh.googleusercontent.com/a-/ACB-R5SHh_CHUFrWcXwi_I3qp5St-HW2UOJwLfcCzvJtjkg",1,"2023-02-26T20:17:55.989Z","Worst authentication I've used."
"Zaidi Fatima","https://play-lh.googleusercontent.com/a-/ACB-R5TJvsz65NihHI2f0nIZ7GJsA_5HzySjJlaeop7RIg",1,"2023-02-26T08:11:34.145Z","Very inconvenient app! Bad user interface and hard to connect after connection lost."
"Dharanidharan M","https://play-lh.googleusercontent.com/a-/ACB-R5S4Cm1vGgDFvd1pIk1ELJ3bCjphbbLVxyehvppKlg",3,"2023-02-24T09:58:37.854Z","Very OLD ui style. Feels like using an app from 1990s. Worst"
"Divya Solanki","https://play-lh.googleusercontent.com/a-/ACB-R5T-5uKFnLtiW1rz_L1v5SbrZr1KYj8iM2K26g1PgQ",1,"2023-02-21T11:17:36.377Z","No user friendly"
"Naipaul Ojar","https://play-lh.googleusercontent.com/a-/ACB-R5QNdQD7ec9lNsPYkETGcaFK_RqPZ3rnE4qaVCV9NA",4,"2023-02-20T15:28:33.790Z","I have found the app to meet it's requirements and has worked properly. I have not met the issues described by some of the other customers. I have been using the app for 5 years now. I now work for Ping PS, but that has not coloured my comments."
"Ayappan S","https://play-lh.googleusercontent.com/a-/ACB-R5RJBN8COVYVLmolkFix1EHma3e0nHDwFMt0Adtf",1,"2023-02-20T03:00:40.553Z","Manual auth scanning is not working, camera coming up as hazy and unable to scan the QR code. Unable to login"
"Nicole Hennessy","https://play-lh.googleusercontent.com/a/AGNmyxbm-8fC-4lvpbHL6k4EYN5nIrL9YU9CewOiDh7sta4=mo",1,"2023-02-17T08:15:22.700Z","Suddenly no longer working, no pop ups anymore. Wont allow access with passcode either. Super inconvenient when my uni uses this for sign on and I have exams i cannot access!!"
"M. White","https://play-lh.googleusercontent.com/a-/ACB-R5RcHjWiy1HR4ZTr5WcUFPNJ9HXKVj9DoKj0rOVjZQ",2,"2023-02-15T13:55:15.829Z","Recently I've been unable to authorize from the notification pop-up. I have to have the app open BEFORE logging into the computer so that I can authenticate."
"Andrew Pei","https://play-lh.googleusercontent.com/a/AGNmyxZbZTQjnG7fw-fXP0nAp3DHIupZxKrsaJ0gjihW=mo",3,"2023-02-13T13:08:56.613Z","Dark mode based on system theme please!"
"Erin Rath","https://play-lh.googleusercontent.com/a-/ACB-R5RXmr-e3tGmmfdnaQTc-y0XqNdofYsILKfirjHQ6w",2,"2023-02-09T14:22:58.686Z","Trying to connect when the ping I'd fr ttec and it's not working properly, so I uninstalled the app and reinstalled and now I'm unable to connect to the ttec. I have a ttec email.but we are in a department that doesn't use the ttec email. So help. Use that s app to sync when th ttec glad bal.protection site to clock in and out due Ng my shift."
"Melissa W*****","https://play-lh.googleusercontent.com/a/AGNmyxYGswHZhBck3P50qtaSPUW7C0S8DcByo4n2giQm=mo",1,"2023-02-08T20:10:59.629Z","Why can't I put this on my Samsung watch?"
"DINESH BODAKHE","https://play-lh.googleusercontent.com/a-/ACB-R5SxfD_bYE5uVTIztZfwlfDGcUcSGqILlNKNuYmS",1,"2023-02-08T14:24:56.309Z","manually scan not working after update"
"elizabeth gerretz","https://play-lh.googleusercontent.com/a-/ACB-R5QYPqq0KNlPnOMBmNveSU0_ycFLzP3GYFxNKZ_j",1,"2023-02-07T18:54:26.871Z","cannot log on"
"suresh M","https://play-lh.googleusercontent.com/a-/ACB-R5S-xVyUmj3Vjv70SEbmRDw7vGTQ70TFk91PXjCioA",5,"2023-02-05T00:17:24.308Z","Good security system"
"Somil Jain","https://play-lh.googleusercontent.com/a-/ACB-R5SP_hUBxiQdxkRa7XgAmQbudt0azXIMYB6gkUd3Mg",2,"2023-02-02T10:18:52.200Z","Most of the time popup doesn't works due to which user needs to give Passcode which is time taking process. Please resolve this issue. Thank you"
"Savant Stinson","https://play-lh.googleusercontent.com/a-/ACB-R5SviIEIQhQn_7-XF7epYjUInEEEL7Z97aDwHfC8",5,"2023-01-31T21:07:13.395Z","You need it for work... and it works every time!"
"Laura Gray","https://play-lh.googleusercontent.com/a-/ACB-R5QnewIED68PsiHLJWI4lPDyy-65qRw_nl-1gBFr-A",1,"2023-01-31T16:12:04.339Z","Crashes"
"Adnan Narn","https://play-lh.googleusercontent.com/a-/ACB-R5SFzjbLBsCh4zUojcQOE8T0GCtibhMW7KS3hUQ2",5,"2023-01-30T11:25:12.579Z","Great"
"Leb Nu","https://play-lh.googleusercontent.com/a/AGNmyxYqW8KxeYZroqfRtempvK5HZ5tCo3FYP-Qux6t_=mo",1,"2023-01-26T07:04:39.655Z","Is it a rootkit? Asking for superuser privileges even before accepting any terms. Developer: explain why, and what it's trying to do."
"Douche Baginglol","https://play-lh.googleusercontent.com/a/AGNmyxYhN7DTngWJSE52x6d4fUZ6b3TFUvWRMXe2ag8c=mo",5,"2023-01-24T08:34:14.603Z","Works"
"John Ingram","https://play-lh.googleusercontent.com/a/AGNmyxYjhdoswCOJ2BRR74eJnn9-_VDw2ehoI-Wr6fjz=mo",1,"2023-01-23T21:22:31.209Z","To hard to set up"
"GokulKiriti M","https://play-lh.googleusercontent.com/a-/ACB-R5Rdbq8lm7c5XWG1RusQnq4z0QRjyQEzEqyVz6o8lg",5,"2023-01-21T12:18:16.784Z","Awesome"
"Brian Wade","https://play-lh.googleusercontent.com/a/AGNmyxZ5AV_dj6-w7xTSARDr8OBEgZ4rMEMqX-zkV98H=mo",1,"2023-01-18T19:55:33.404Z","It's just pure shite"
"Ming Lei","https://play-lh.googleusercontent.com/a-/ACB-R5RuyrvFamj8dPepfjqOYuwbdafk_ize3yiQZG5AHw",1,"2023-01-17T08:46:36.255Z","The push notification doesn't always work, sometimes way too late. Rubbish app."
"Tamara Longnecker","https://play-lh.googleusercontent.com/a/AGNmyxZlhuVPDAi1o226uQ_HX2pe3vpa0TmX95e9WeQG=mo",1,"2023-01-16T15:53:01.114Z","Cannot delete this app. Won't let me into a web site I need because it keeps timing out. Absolutely hate this app. I would give it a - 10 stars if I could"
"F Z","https://play-lh.googleusercontent.com/a-/ACB-R5T9dPT7ecNCJVEerN-coPxx7fn77LJMjj0pCXfm2Kg",1,"2023-01-12T02:49:53.759Z","Popups aren't working anymore. It suddenly started to demand I do only OTPs, highly inconvenient. I unpaired it, uninstalled, installed and paired again and still doesn't work."
"Deep South East BBQ","https://play-lh.googleusercontent.com/a-/ACB-R5Rzyyrd13JVIE1xCpcYAPC1zrok7s3SEMunUHDulA",1,"2023-01-11T23:07:01.233Z","Terrible, just a compete failure"
"Vincent Hiei","https://play-lh.googleusercontent.com/a/AGNmyxbwgB8OSjLT9hN6r_5mRMMJ9w3tzbjGEmiHjv2w=mo",1,"2023-01-08T13:24:11.881Z","Worst app. Lots of bug. Makes logging in so difficult. Please do not download"
"Maxwell Walsh","https://play-lh.googleusercontent.com/a-/ACB-R5SV3HwVUChdQJY93TkD6ixy4HAcrEnhCsTAav2W",1,"2023-01-07T00:13:59.240Z","Mandatory 2 factor authentication to get into your email, if you lose your phone you can't get into your email, you can send an email to yourself to get into your account, but you need to authenticate your login to use your email. Wonderful app"
"Debbie Adams","https://play-lh.googleusercontent.com/a/AGNmyxYzZSX7N4dmcES8IIsyq9I9kW7iMAclAAlR7GKx=mo",5,"2023-01-06T17:03:44.325Z","Kinda of confusing"
"Aldo Martinez","https://play-lh.googleusercontent.com/a-/ACB-R5T4WuapSevF1mUyQDXNBwbONEGhN9fJexbtkPfOUg",1,"2023-01-04T18:10:05.332Z","Pop up does not go away I know my employers need to track where I am but even after changing the settings the pop up is there it's a 5 dollar fix for a million dollar company"
"Bob Zombie","https://play-lh.googleusercontent.com/a-/ACB-R5QO-vlu78RPPrIA5sR0rFzMESCjTDqUEwIVoFt0",1,"2023-01-04T00:51:04.671Z","Trash level app. Zero accessibility. Constant errors."
