id,userName,userImage,score,scoreText,date,url,text,replyDate,replyText,version,thumbsUp
"2faddc0f-4126-455b-b7f2-7d14c20f32f7","Cedric Joseph Camu","https://play-lh.googleusercontent.com/a-/ACB-R5RRQYYZYIS_Xne_s8VBkMUcX12fJ7fupsmyAvnM9g",3,"3","2023-03-29T09:42:15.150Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=2faddc0f-4126-455b-b7f2-7d14c20f32f7","What About Clash Of Bug???","N/A","N/A","N/A",0
"70ff76ea-769f-4074-9b06-45f9b219a3a6","Felomina Piojo","https://play-lh.googleusercontent.com/a/AGNmyxbWVFImN-SGgKhfFr9jUgxf_cF1_CxTZh7nCJg5=mo",5,"5","2023-03-29T07:17:42.942Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=70ff76ea-769f-4074-9b06-45f9b219a3a6","Tyyfghjyffhhhhuuuhihhhho999hfyu97rusllifzflzfsuufzyzitp8d c8tp8pt7rprpscroxpdc4s4e850exx50e850dx5x80x8t0dx06dx8r5ex8x05dex8575pe85pec8ec5pt8dtp7exctpdtpcdi8tpdc8ycr7tpc8tpc7tpdcptcudtcpdd8tpctpdc8ciddc8ypitdcpusx7extp8ptcitpc9ypcpc8te8tpec7toxocitd8ctpdtpdc8utpd t updated puto sput stuscutpcsutpd upd it'd ciydtice8tpce8tprcc8tprciydydcycipdiyp pit tpddypvpydc9ppcydtdcitpdciypd pitditd tpdcc8tpd8ypcdp8dcy08pdcdc8pyrcyfvopyfv99pyfp8ydc8ycd8yprc9yprvrcf80ry8pfrtoietxp9yrc680efiprt9xipydpitr80tec80l","N/A","N/A","1.8.15",0
"50de48a2-21de-4388-aa08-f081f2e875c1","Thangavel TM chiranjeev","https://play-lh.googleusercontent.com/a/AGNmyxbelaGAu7nSuS0B1KJj8oBGuSJohURjpvsUzaqL=mo",5,"5","2023-03-26T16:57:50.330Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=50de48a2-21de-4388-aa08-f081f2e875c1","Super","N/A","N/A","1.8.15",0
"4e6fce9c-83aa-4499-9da5-a96add6fd702","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g",5,"5","2023-03-26T01:30:42.260Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=4e6fce9c-83aa-4499-9da5-a96add6fd702","I love it.","N/A","N/A","1.8.15",0
"f708b473-e769-4d58-b54b-d3673ff1ed17","Yagnesh Yt","https://play-lh.googleusercontent.com/a-/ACB-R5SS41jg_GlIaKTjirS6xGhgaSCBHqhIdKfYtFHcrQ",5,"5","2023-03-21T13:33:35.713Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=f708b473-e769-4d58-b54b-d3673ff1ed17","Gggy Om","N/A","N/A","1.8.15",0
"405042b2-29ac-42cf-af1c-da10604be179","Twabuing Meru","https://play-lh.googleusercontent.com/a/AGNmyxbzlV2tdymHlIU0NX3Yj3g9_r15A9JtkVAuH0jL=mo",5,"5","2023-03-21T06:00:22.697Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=405042b2-29ac-42cf-af1c-da10604be179","A very good and adventurous game","N/A","N/A","1.8.15",0
"1da85684-2272-48ce-ae78-a8627214f703","Gayle Buel","https://play-lh.googleusercontent.com/a-/ACB-R5QOIa767EGt43JQVOfCoTr0rPHcpCqdPX9lqCI9Qw",5,"5","2023-03-20T12:24:53.710Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=1da85684-2272-48ce-ae78-a8627214f703","No forced ads it is just great","N/A","N/A","1.8.15",2
"3808b99a-2d42-428c-b59f-7389e1e84615","the dirty cat 69","https://play-lh.googleusercontent.com/a-/ACB-R5RYmcjvUQKsUm7uf2I9ksNE5XbizOxfzJbSYJdw5Q",3,"3","2023-03-19T23:32:58.600Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=3808b99a-2d42-428c-b59f-7389e1e84615","JUST PLAY ANIMAL WARFARE ITS THE SAME THING","N/A","N/A","N/A",0
"4461ca82-8bb5-4c25-87b1-a60bc590ed21","J","https://play-lh.googleusercontent.com/a/AGNmyxajOCJEbxo7CqPYYy0meGwOX7-jSW2U-8PIZPLz=mo",1,"1","2023-03-19T16:29:48.311Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=4461ca82-8bb5-4c25-87b1-a60bc590ed21","Its a scam","N/A","N/A","1.8.15",0
"7f3c2951-98c2-4d5d-b5ea-f3f524ca0f35","Zacattak 48","https://play-lh.googleusercontent.com/a-/ACB-R5TOtKF1x7Bdbtv0Yr_D-mNQLw6ZYCvmF_0rss9z",4,"4","2023-03-12T05:02:02.384Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=7f3c2951-98c2-4d5d-b5ea-f3f524ca0f35","Fun and cute","N/A","N/A","1.8.15",0
"66a198a7-a830-44ab-b36d-d9e005d6f8bd","Mahadev Swamy","https://play-lh.googleusercontent.com/a/AGNmyxajh9kJD0ccZhcWXwWEIsEI7Yq_Zd5H1bSmByeH=mo",5,"5","2023-03-10T04:01:29.972Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=66a198a7-a830-44ab-b36d-d9e005d6f8bd","Samarth.M","N/A","N/A","N/A",0
"452a340b-17fb-4f5b-a865-aa9c9015f24e","Sagar khedekar","https://play-lh.googleusercontent.com/a-/ACB-R5SFf_ZnVxyncw8YeRPxSgLZ-IOZKftYEhx5YjO6tA",5,"5","2023-03-09T06:12:31.920Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=452a340b-17fb-4f5b-a865-aa9c9015f24e","😀","N/A","N/A","N/A",0
"65592f3e-4553-44ff-be5c-8379830d61ac","Ganesh Jena","https://play-lh.googleusercontent.com/a/AGNmyxZbBeKmawRT1Fuc0-t0s2mUjPCLlm2IKYy-fdFn=mo",4,"4","2023-03-07T19:03:14.856Z","https://play.google.com/store/apps/details?id=com.playsidestudios.toywarfare&reviewId=65592f3e-4553-44ff-be5c-8379830d61ac","Nice game is it!","N/A","N/A","1.8.15",0
