userName,userImage,score,date,text
"yaniel jane f. bada",https://play-lh.googleusercontent.com/a-/ACB-R5QTHA4SHw2wre1xCMvgpTuvU7LjqQ4bzR5zSjCr,5,2023-03-30T10:12:15.285Z,"blog.©®"
"Bhavya Shah",https://play-lh.googleusercontent.com/a-/ACB-R5Q7IhFCNnli4uEwCGTXLFgSk3P3j_RQ1_s_khDXWw,5,2023-03-25T13:57:22.560Z,"simple and easythank you guys"
"Melody Lee Rodriguez",https://play-lh.googleusercontent.com/a-/ACB-R5RT63NLtxlEtphFGvBTX-fTaTW6h4_MZhKYeJAC,5,2023-03-18T02:00:52.775Z,"Compared to some other trash speed apps this looks fairly accurate."
"Md Faruk",https://play-lh.googleusercontent.com/a/AGNmyxbrYKW_-ungBoOsJhNSTcS3-BW-fEkFw5wRWN0h=mo,5,2023-03-16T09:08:57.981Z,"My boy MD Fahim dunlod koracha"
"Jim Uley",https://play-lh.googleusercontent.com/a/AGNmyxYzYSln3QVhp7WvxhhsVqXXN8kH7EmraZ-BdL_G=mo,5,2023-02-25T03:39:31.950Z,"seems to work well and what I thought for speeds"
"Manmohan Sanjeeva Kasargod Raj",https://play-lh.googleusercontent.com/a/AGNmyxbMP4VX5nuZ_jwc2vVPjmzTIxFeoMeXOcMINaho=mo,5,2023-02-09T12:56:42.883Z,"very good"
"Yariv G",https://play-lh.googleusercontent.com/a-/ACB-R5Sbl1j87WZxPFxuxQQ7QcP8P5yAcF0jJAOPpnfkNA,1,2023-02-03T06:43:59.826Z,"Buyer beware. Useless for speed testing. They show X2 faster speeds than my cable modem can physically support. Looking at their website - they are all about collecting data."
"Rick Ludlam",https://play-lh.googleusercontent.com/a-/ACB-R5SrArrg9__74JFFysCh8HeKTBPIeMsvf9y9nWgv,1,2023-01-08T18:18:17.700Z,"wasn't aware it was a purchase until after the install. don't want it"
"Red Mango Analytics Pvt Ltd",https://play-lh.googleusercontent.com/a/AGNmyxaCDHpY-9Q_V2yj62inPmCvwCdWTB9LQIrqiBal=mo,5,2022-11-06T04:47:31.320Z,"Clean UI with no ads."
