id,userName,userImage,score,date,score,scoreText,url,text,replyDate,replyText,version,thumbsUp
"9f591cd5-1b22-4cfa-aeae-14b82485fcc3","Patricia Padilla","https://play-lh.googleusercontent.com/a/AGNmyxad3ObsPa5JMgp59ao5YXoeBz_nl9KZjqZwATlr=mo",2,"2023-04-30T22:52:26.300Z",2,"2","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=9f591cd5-1b22-4cfa-aeae-14b82485fcc3","I'm giving it 2 stars only because I love monopoly. The game could use some improvements for example once you're done building a landmark it should no longer be available to be shutdown. It's very frustrating to keep rebuilding especially without shields or rolls to continue playing. 2nd...why is it that you don't get free rolls when you roll doubles like on the board game? That needs to change. Why a whole hour to get more rolls? That's a headache too. Do better please!!","N/A","N/A","1.1.1",6
"0e99d158-d665-462c-81d8-cd91f3593de5","Sandy Erickson","https://play-lh.googleusercontent.com/a/AGNmyxa7HjRnUbPfBp-4jJWqILVVUtXklCjGK2SyScaW=mo",1,"2023-04-21T06:10:24.280Z",1,"1","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=0e99d158-d665-462c-81d8-cd91f3593de5","Very hard to level up, you don't get enough dice, not enough coins, you have to use your coins to ""fix"" your buildings while trying to upgrade them without being able to accomplish that before you run out of dice. There are better monopoly games out there. Board kings is a similar concept and a better game than this. You can only play a couple of minutes, and you're out of rolls. You can't even play when you want to so what's the point","N/A","N/A","1.1.0",0
"4b9dd9cd-bbba-4bfe-981e-a4feeeb328c2","J.J. Fite","https://play-lh.googleusercontent.com/a/AGNmyxYUxo3JPFxiAAvR5DQSuHC-WHndkfS3NCfaqZ_fjQ=mo",5,"2023-04-22T13:34:39.608Z",5,"5","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=4b9dd9cd-bbba-4bfe-981e-a4feeeb328c2","This game is similar to Board Kings, but it's way better. The developers are super generous; I get lots of rolls often, which allows me to play for longer, which allows me to enjoy the game even more. The heists and demolition mini games are also a neat feature. I would like it if you could increase the graphics in the settings menu. Other than that, this is a great game, and I'm looking forward to future updates that the game has to offer!","N/A","N/A","1.1.0",3
"b07f3b13-f2c6-4431-a2e1-fccdf8b6c651","Takiyah Jones","https://play-lh.googleusercontent.com/a-/ACB-R5SqpmHsSryd2ohHFapIBtPUhFP3GHre0KRRjwRxlA",2,"2023-05-01T15:01:37.794Z",2,"2","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=b07f3b13-f2c6-4431-a2e1-fccdf8b6c651","So far I really like the game but I have a few things about the game that's a bit frustrating. For one, the pop ups of always asking to spend money to buy dice and add friends. Sometimes you want to just enjoy a game without always having to spend money to move forward. Waiting almost 1 hour to get another set of dice makes you don't want to play..I saw a review of a person who had an idea of looking at an ad to retrieve more dice, or play a mini game to earn more dice. That would be great!!","N/A","N/A","1.1.1",0
"9a27c212-6765-4d02-9e83-27e78a6698a6","Bryanna Turner","https://play-lh.googleusercontent.com/a-/ACB-R5R-w7zxZE01jt9EOerGQWzKK5qIyIF4xwPX2SETcQ",5,"2023-04-29T23:05:53.376Z",5,"5","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=9a27c212-6765-4d02-9e83-27e78a6698a6","Really fun game and it stays fun. It doesn't get to an impossible stage like most games after playing and getting interested you can't get enough energy, coins, etc to advance in the games. So far I am happy with the game and it has bn fair. Best part is not a bunch of ads. I know ads are what makes it possible to be free and I appreciate it but when they more ads than you can pay the game it's a game changer for me.","N/A","N/A","1.1.1",0
"b40aa675-a6e9-4af6-8f6f-c05e667f32c0","Rayne Grimm","https://play-lh.googleusercontent.com/a-/ACB-R5SRo9K_LxyPi6O4L5bMNU6XapNBpt9W8_Q2Kgyj",1,"2023-04-25T03:31:59.762Z",1,"1","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=b40aa675-a6e9-4af6-8f6f-c05e667f32c0","It had been an Interesting diversion but it has alot it can do to make it better. Everytime you open it the same ads pop up repeatedly and take ages to click through the game needs a better trade feature to prevent scamming since it's too easy to just send something and not reciprocate (as long as they give an option for nothing if someone's giving a freebie) and it'd help if knowing when you can trade again was indicated. Dice is too slow to re accumulate as well. 5 per an hour is pitiful regen","N/A","N/A","1.1.0",0
"5b5405bf-d636-4698-b11d-68cdb2fc1db7","Brendann Hines","https://play-lh.googleusercontent.com/a-/ACB-R5QPkFrNF8yCawGPT5iZVWmOHWgenQ9PgHLmfnQv",2,"2023-04-16T14:10:50.909Z",2,"2","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=5b5405bf-d636-4698-b11d-68cdb2fc1db7","The concept of Monopoly Go is fun and inviting. It's easy to learn and play and a nice game to play for short periods. That's why it gets 2 stars and not 1 because the money grabs that this game employs is atrocious. As soon as you open up the game, you'll get at least 3 pop-ups asking for your money. These then return to the side of the screen and take up a significant amount of space. But, every time you run low on money or dice, you're getting all the pop-ups again. Truly shameless.","N/A","N/A","1.0.1",0
"9f68dcb3-beb4-4030-873c-fdbfaa49f5b0","Dan MacGregor","https://play-lh.googleusercontent.com/a-/ACB-R5S8Gj-ey3NgCALlr3-Bws0Z5sayktFOoKbh5sAxX7Q",4,"2023-04-15T15:09:51.524Z",4,"4","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=9f68dcb3-beb4-4030-873c-fdbfaa49f5b0","Nice graphics, seems pretty easy. I like that I only have to check in with it for a few minutes a couple times a day. I wish I could go back to look at the other maps, and maybe there would be something to do there like collect rent from the buildings on past maps or something. Also I can't get the app to login with Google Play Games, tapping ""sign in with Google"" doesn't do anything.","N/A","N/A","1.0.1",0
"7097659a-4086-46e1-9c1f-b6c35417b19d","Korey F","https://play-lh.googleusercontent.com/a-/ACB-R5TsLYVofMKKT4NFztfbGt9Xxd75iGChrz2oovxN_w",3,"2023-04-11T21:51:43.160Z",3,"3","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=7097659a-4086-46e1-9c1f-b6c35417b19d","It's very similar to other dice building games, but with a Monopoly skin. I dislike how so many of these apps rely on Facebook, which has fallen out of favor. The ads are intrusive and the gameplay is repetitive. But it does look nice and it's simple and easy to learn and upgrade, if you enjoy the looping games like this.","N/A","N/A","1.0.1",0
"274db4cf-7e64-481b-b63e-da37dc7f16aa","Joseph hornbostel","https://play-lh.googleusercontent.com/a/AGNmyxZR0YZbjhwpZybUwWjvfp0wyrRzqPhEYfHkiOJE=mo",1,"2023-04-15T04:04:15.608Z",1,"1","https://play.google.com/store/apps/details?id=com.scopely.monopolygo&reviewId=274db4cf-7e64-481b-b63e-da37dc7f16aa","Update after playing. I had high hopes in the beginning. But the dice respond rate takes too long, and pop-ups to buy stuff are shoved in your face too much. After the first few cities, it's basically a crawl to build and upgrade. It kills the fun of the game real quickly. I'll change back to 5 stars if things improve. But for now, it's just another cash grab focused game.","N/A","N/A","1.0.1",0
